Order_ID,Order_Date,Model,Vehicle_Type,Powertrain,Model_Year,Country,Region,Sales_Channel,Payment_Method,Salesperson,Quantity,Unit_Price_USD,Discount_Rate,Discount_Amount_USD,Revenue_USD,Estimated_Cost_USD,Estimated_Profit_USD,Customer_ID,Customer_Segment,Delivery_Days,Customer_Rating,Month
BYD-100040,2026-04-05,BYD Yuan Plus,SUV,EV,2022,UAE,Middle East,Dealership,Financing,Salesperson_006,1,30857.07,0.0434,1339.2,29517.87,22524.82,6993.05,CUST-30782,Individual,18,4.7,2026-04
BYD-100041,2024-06-12,BYD Shark,Pickup,PHEV,2024,UAE,Middle East,Online,Cash,Salesperson_007,1,52719.61,0.0943,4971.46,47748.15,39967.46,7780.69,CUST-85263,Individual,38,3.9,2024-06
BYD-100042,2025-12-15,BYD Tang,SUV,EV,2021,United Kingdom,Europe,Corporate,Cash,Salesperson_052,2,57591.57,0.0257,2960.21,112222.93,94155.94,18066.99,CUST-86865,Individual,6,3.4,2025-12
BYD-100043,2025-03-08,BYD Tang,SUV,EV,2021,Brazil,South America,Corporate,Cash,Salesperson_003,1,61578.01,0.0775,4772.3,56805.71,47906.55,8899.16,CUST-22367,Government,20,4.5,2025-03
BYD-100044,2024-12-14,BYD Han,Sedan,EV,2020,Brazil,South America,Online,Cash,Salesperson_039,1,57258.38,0.0341,1952.51,55305.87,43381.01,11924.86,CUST-14323,Individual,34,3.8,2024-12
BYD-100045,2024-10-11,BYD Yuan Plus,SUV,EV,2022,Germany,Europe,Online,Financing,Salesperson_086,2,32324.75,0.0529,3419.96,61229.54,53114.91,8114.63,CUST-17454,Individual,34,3.7,2024-10
BYD-100046,2024-06-08,BYD Seal,Sedan,EV,2023,United Kingdom,Europe,Corporate,Financing,Salesperson_035,1,40899.06,0.0289,1181.98,39717.08,31707.72,8009.36,CUST-62609,Individual,20,4.7,2024-06
BYD-100047,2024-08-08,BYD Shark,Pickup,PHEV,2024,Mexico,North America,Fleet,Lease,Salesperson_024,1,48560.53,0.0382,1855.01,46705.52,39281.14,7424.38,CUST-27862,Individual,41,5.0,2024-08
BYD-100048,2026-02-20,BYD Qin Plus DM-i,Sedan,PHEV,2021,Germany,Europe,Corporate,Lease,Salesperson_029,1,22459.46,0.0589,1322.86,21136.6,16954.4,4182.2,CUST-88328,Individual,45,4.5,2026-02
BYD-100049,2024-12-10,BYD Dolphin,Hatchback,EV,2023,UAE,Middle East,Dealership,Financing,Salesperson_060,1,24530.83,0.0502,1231.45,23299.38,19188.35,4111.03,CUST-18780,Business,39,5.0,2024-12
BYD-100050,2024-04-14,BYD Qin Plus DM-i,Sedan,PHEV,2021,Pakistan,Asia,Online,Cash,Salesperson_088,3,21259.66,0.0075,478.34,63300.64,50413.76,12886.88,CUST-65550,Individual,55,4.1,2024-04
BYD-100051,2024-04-04,BYD Tang,SUV,EV,2021,Thailand,Asia,Dealership,Lease,Salesperson_010,1,56149.07,0.0397,2229.12,53919.95,41371.54,12548.41,CUST-88656,Government,30,4.6,2024-04
BYD-100052,2025-01-24,BYD Atto 3,SUV,EV,2022,Japan,Asia,Dealership,Financing,Salesperson_085,1,39228.31,0.0452,1773.12,37455.19,29514.17,7941.02,CUST-66375,Individual,52,4.4,2025-01
BYD-100053,2024-04-09,BYD Shark,Pickup,PHEV,2024,Australia,Oceania,Dealership,Cash,Salesperson_095,1,55768.14,0.1066,5944.88,49823.26,40540.73,9282.53,CUST-73006,Individual,41,4.6,2024-04
BYD-100054,2025-01-02,BYD Yuan Plus,SUV,EV,2022,Brazil,South America,Dealership,Cash,Salesperson_054,2,29821.33,0.0577,3441.38,56201.28,48044.54,8156.74,CUST-15471,Individual,4,3.8,2025-01
BYD-100055,2026-05-17,BYD Tang,SUV,EV,2021,United Kingdom,Europe,Corporate,Lease,Salesperson_034,1,59872.73,0.0,0.0,59872.73,47467.08,12405.65,CUST-79687,Individual,39,3.0,2026-05
BYD-100056,2024-12-18,BYD Song Plus DM-i,SUV,PHEV,2021,Brazil,South America,Fleet,Lease,Salesperson_014,1,38305.9,0.0518,1984.25,36321.65,26606.17,9715.49,CUST-35446,Business,39,5.0,2024-12
BYD-100057,2025-09-10,BYD Qin Plus DM-i,Sedan,PHEV,2021,Japan,Asia,Dealership,Cash,Salesperson_084,1,22530.72,0.0442,995.86,21534.86,16865.88,4668.99,CUST-28614,Individual,53,4.2,2025-09
BYD-100058,2024-09-27,BYD Yuan Plus,SUV,EV,2022,UAE,Middle East,Corporate,Financing,Salesperson_080,1,27195.17,0.049,1332.56,25862.61,22216.11,3646.5,CUST-40195,Individual,4,3.3,2024-09
BYD-100059,2026-04-06,BYD Shark,Pickup,PHEV,2024,United Kingdom,Europe,Corporate,Financing,Salesperson_012,1,58308.51,0.0843,4915.41,53393.1,46671.05,6722.05,CUST-81164,Individual,21,4.3,2026-04
BYD-100060,2024-02-14,BYD Dolphin,Hatchback,EV,2023,Brazil,South America,Dealership,Lease,Salesperson_025,1,23181.23,0.0737,1708.46,21472.77,15844.89,5627.89,CUST-69997,Individual,7,4.5,2024-02
BYD-100061,2026-01-17,BYD Atto 3,SUV,EV,2022,Thailand,Asia,Online,Financing,Salesperson_081,1,33738.37,0.0921,3107.3,30631.07,22765.76,7865.3,CUST-82562,Individual,46,4.3,2026-01
BYD-100062,2025-04-15,BYD Seagull,Hatchback,EV,2023,Thailand,Asia,Online,Financing,Salesperson_055,1,14102.84,0.0676,953.35,13149.49,11087.06,2062.43,CUST-27401,Individual,15,4.275664983164983,2025-04
BYD-100063,2025-07-03,BYD Atto 3,SUV,EV,2022,Pakistan,Asia,Corporate,Financing,Salesperson_061,1,36278.45,0.0203,736.45,35542.0,26457.02,9084.98,CUST-56410,Individual,24,4.4,2025-07
BYD-100064,2024-05-07,BYD Atto 3,SUV,EV,2022,UAE,Middle East,Corporate,Cash,Salesperson_043,1,36469.43,0.053,1932.88,34536.55,25978.88,8557.67,CUST-10882,Individual,54,4.1,2024-05
BYD-100065,2026-08-02,BYD Atto 3,SUV,EV,2022,Pakistan,Asia,Corporate,Financing,Salesperson_095,1,38208.43,0.0035,133.73,38074.7,31757.91,6316.79,CUST-81783,Individual,9,4.4,2026-08
BYD-100066,2025-01-22,BYD Shark,Pickup,PHEV,2024,Mexico,North America,Dealership,Financing,Salesperson_052,2,57083.81,0.0181,2066.43,112101.19,98631.58,13469.61,CUST-35339,Individual,4,4.2,2025-01
BYD-100067,2024-03-21,BYD Yuan Plus,SUV,EV,2022,Japan,Asia,Corporate,Cash,Salesperson_092,1,33719.84,0.0224,755.32,32964.52,26959.67,6004.84,CUST-98988,Business,56,4.4,2024-03
BYD-100068,2025-07-19,BYD Atto 3,SUV,EV,2022,Japan,Asia,Dealership,Financing,Salesperson_083,1,37020.93,0.0265,981.05,36039.88,29272.47,6767.4,CUST-48810,Individual,16,4.5,2025-07
BYD-100069,2024-10-27,BYD Qin Plus DM-i,Sedan,PHEV,2021,UAE,Middle East,Fleet,Financing,Salesperson_090,1,19833.68,0.0744,1475.63,18358.05,15046.84,3311.22,CUST-14306,Individual,27,4.6,2024-10
BYD-100070,2026-04-29,BYD Qin Plus DM-i,Sedan,PHEV,2021,China,Asia,Corporate,Financing,Salesperson_057,1,24300.57,0.0568,1380.27,22920.3,19165.8,3754.49,CUST-16191,Individual,28,4.0,2026-04
BYD-100071,2025-10-05,BYD Han,Sedan,EV,2020,Japan,Asia,Fleet,Lease,Salesperson_092,1,55812.39,0.0018,100.46,55711.93,48215.96,7495.97,CUST-21130,Individual,7,4.7,2025-10
BYD-100072,2025-09-25,BYD Yuan Plus,SUV,EV,2022,Brazil,South America,Corporate,Financing,Salesperson_087,3,31876.37,0.0578,5527.36,90101.75,75296.16,14805.59,CUST-71467,Individual,22,4.5,2025-09
BYD-100073,2026-06-25,BYD Song Plus DM-i,SUV,PHEV,2021,UAE,Middle East,Online,Financing,Salesperson_089,2,28619.63,0.0129,738.39,56500.87,48315.31,8185.56,CUST-16130,Business,59,5.0,2026-06
BYD-100074,2026-06-01,BYD Seal,Sedan,EV,2023,UAE,Middle East,Corporate,Cash,Salesperson_054,1,42997.87,0.0657,2824.96,40172.91,30206.71,9966.2,CUST-50580,Government,56,4.4,2026-06
BYD-100075,2025-01-05,BYD Yuan Plus,SUV,EV,2022,Australia,Oceania,Dealership,Financing,Salesperson_034,1,30831.48,0.0575,1772.81,29058.67,23511.16,5547.51,CUST-68753,Individual,14,4.9,2025-01
BYD-100076,2025-08-14,BYD Song Plus DM-i,SUV,PHEV,2021,Brazil,South America,Dealership,Cash,Salesperson_044,1,32594.57,0.0296,964.8,31629.77,27122.97,4506.8,CUST-62570,Individual,38,3.1,2025-08
BYD-100077,2024-07-15,BYD Qin Plus DM-i,Sedan,PHEV,2021,Pakistan,Asia,Online,Financing,Salesperson_034,1,20742.74,0.0588,1219.67,19523.07,14433.6,5089.47,CUST-47611,Individual,33,3.7,2024-07
BYD-100078,2025-12-22,BYD Song Plus DM-i,SUV,PHEV,2021,United Kingdom,Europe,Fleet,Cash,Salesperson_089,2,33213.01,0.106,7041.16,59384.86,50074.22,9310.64,CUST-15508,Individual,19,4.9,2025-12
BYD-100079,2024-03-12,BYD Seagull,Hatchback,EV,2023,Mexico,North America,Corporate,Financing,Salesperson_097,1,12630.29,0.0143,180.61,12449.68,10370.89,2078.79,CUST-11592,Individual,18,4.5,2024-03
BYD-100080,2024-02-16,BYD Seal,Sedan,EV,2023,Pakistan,Asia,Dealership,Lease,Salesperson_006,2,44644.6,0.0208,1857.22,87431.98,71479.58,15952.41,CUST-42650,Business,59,3.7,2024-02
BYD-100081,2025-11-08,BYD Seagull,Hatchback,EV,2023,Pakistan,Asia,Unknown,Financing,Salesperson_021,1,11212.14,0.0848,950.79,10261.35,7582.0,2679.35,CUST-95289,Business,12,4.4,2025-11
BYD-100082,2024-08-21,BYD Tang,SUV,EV,2021,UAE,Middle East,Unknown,Cash,Salesperson_083,2,61981.35,0.0789,9780.66,114182.04,91316.24,22865.8,CUST-83471,Individual,37,4.9,2024-08
BYD-100083,2026-03-02,BYD Song Plus DM-i,SUV,PHEV,2021,United Kingdom,Europe,Online,Financing,Salesperson_054,2,36855.79,0.0747,5506.26,68205.32,50449.93,17755.39,CUST-22166,Individual,56,3.6,2026-03
BYD-100084,2024-10-23,BYD Atto 3,SUV,EV,2022,Thailand,Asia,Fleet,Lease,Salesperson_022,2,35708.64,0.0426,3042.38,68374.9,54411.8,13963.1,CUST-59225,Individual,35,4.5,2024-10
BYD-100085,2024-03-22,BYD Seal,Sedan,EV,2023,Australia,Oceania,Fleet,Lease,Salesperson_086,1,39258.88,0.0233,914.73,38344.15,32238.81,6105.34,CUST-16367,Individual,40,5.0,2024-03
BYD-100086,2026-05-25,BYD Han,Sedan,EV,2020,Brazil,South America,Online,Cash,Salesperson_055,2,56501.07,0.0477,5390.2,107611.94,86600.07,21011.87,CUST-59261,Individual,37,3.9,2026-05
BYD-100087,2024-08-26,BYD Qin Plus DM-i,Sedan,PHEV,2021,Germany,Europe,Fleet,Cash,Salesperson_057,3,23455.84,0.0583,4102.43,66265.09,57802.68,8462.42,CUST-13427,Individual,53,3.8,2024-08
BYD-100088,2026-06-06,BYD Dolphin,Hatchback,EV,2023,China,Asia,Dealership,Cash,Salesperson_044,2,27907.07,0.0504,2813.03,53001.11,42548.01,10453.1,CUST-35219,Individual,29,2.9,2026-06
BYD-100089,2024-04-13,BYD Song Plus DM-i,SUV,PHEV,2021,Germany,Europe,Dealership,Financing,Salesperson_098,10,38963.63,0.0421,16403.69,373232.61,278540.49,94692.12,CUST-28547,Individual,9,4.1,2024-04
BYD-100090,2025-01-24,BYD Atto 3,SUV,EV,2022,Brazil,South America,Fleet,Financing,Salesperson_052,3,35394.24,0.0688,7305.37,98877.35,72106.26,26771.08,CUST-63693,Individual,29,4.8,2025-01
BYD-100091,2024-10-11,BYD Seagull,Hatchback,EV,2023,Australia,Oceania,Fleet,Cash,Salesperson_036,2,12463.17,0.0179,446.18,24480.16,18854.4,5625.75,CUST-21996,Individual,43,4.0,2024-10
BYD-100092,2025-04-09,BYD Seagull,Hatchback,EV,2023,Mexico,North America,Corporate,Lease,Salesperson_027,3,12685.44,0.0433,1647.84,36408.48,30293.58,6114.91,CUST-34543,Individual,56,5.0,2025-04
BYD-100093,2025-10-12,BYD Seagull,Hatchback,EV,2023,Mexico,North America,Fleet,Lease,Salesperson_052,2,11930.08,0.0642,1531.82,22328.34,18405.83,3922.51,CUST-43227,Individual,14,5.0,2025-10
BYD-100094,2026-05-04,BYD Han,Sedan,EV,2020,Australia,Oceania,Corporate,Lease,Salesperson_093,1,48334.67,0.0246,1189.03,47145.64,37998.88,9146.76,CUST-44177,Individual,48,5.0,2026-05
BYD-100095,2025-01-08,BYD Dolphin,Hatchback,EV,2023,Japan,Asia,Dealership,Lease,Salesperson_071,10,26712.8,0.0366,9776.88,257351.12,196983.87,60367.25,CUST-35508,Individual,35,3.9,2025-01
BYD-100096,2024-06-15,BYD Tang,SUV,EV,2021,Japan,Asia,Dealership,Cash,Salesperson_070,1,54020.45,0.0564,3046.75,50973.7,41885.58,9088.12,CUST-39329,Individual,59,4.5,2024-06
BYD-100097,2025-01-14,BYD Shark,Pickup,PHEV,2024,Australia,Oceania,Corporate,Lease,Salesperson_015,1,56695.4,0.0552,3129.59,53565.81,45202.33,8363.49,CUST-68928,Individual,15,4.0,2025-01
BYD-100098,2024-12-29,BYD Atto 3,SUV,EV,2022,United Kingdom,Europe,Dealership,Cash,Salesperson_097,1,38467.32,0.0235,903.98,37563.34,30095.74,7467.6,CUST-50406,Government,55,3.9,2024-12
BYD-100099,2024-08-02,BYD Seal,Sedan,EV,2023,UAE,Middle East,Corporate,Financing,Salesperson_031,1,38159.62,0.0517,1972.85,36186.77,30320.8,5865.97,CUST-84651,Individual,4,4.5,2024-08
BYD-100100,2025-11-17,BYD Shark,Pickup,PHEV,2024,Mexico,North America,Online,Financing,Salesperson_039,2,57467.45,0.0607,6976.55,107958.35,93924.45,14033.9,CUST-55367,Individual,5,3.7,2025-11
BYD-100101,2024-09-30,BYD Tang,SUV,EV,2021,Mexico,North America,Online,Cash,Salesperson_042,1,65058.25,0.0825,5367.31,59690.94,49799.93,9891.02,CUST-65012,Government,13,3.3,2024-09
BYD-100102,2025-12-19,BYD Seagull,Hatchback,EV,2023,Mexico,North America,Corporate,Cash,Salesperson_019,1,11099.69,0.0087,96.57,11003.12,9292.88,1710.24,CUST-76353,Individual,7,3.5,2025-12
BYD-100103,2026-08-17,BYD Qin Plus DM-i,Sedan,PHEV,2021,Germany,Europe,Online,Financing,Salesperson_028,1,22904.26,0.0655,1500.23,21404.03,15623.89,5780.14,CUST-77519,Individual,4,4.4,2026-08
BYD-100104,2025-11-30,BYD Yuan Plus,SUV,EV,2022,Pakistan,Asia,Corporate,Financing,Salesperson_075,1,39246.56,0.0655,2570.65,36675.91,29494.8,7181.11,CUST-84684,Individual,48,5.0,2025-11
BYD-100105,2025-10-25,BYD Yuan Plus,SUV,EV,2022,Germany,Europe,Corporate,Lease,Salesperson_054,10,32725.36,0.0671,21958.72,305294.88,253468.9,51825.99,CUST-66590,Individual,30,4.8,2025-10
BYD-100106,2024-03-14,BYD Dolphin,Hatchback,EV,2023,Brazil,South America,Corporate,Cash,Salesperson_091,1,26302.78,0.0786,2067.4,24235.38,19329.23,4906.15,CUST-76325,Individual,15,4.2,2024-03
BYD-100107,2025-09-15,BYD Seagull,Hatchback,EV,2023,Japan,Asia,Corporate,Cash,Salesperson_096,1,12728.61,0.0405,515.51,12213.1,9208.96,3004.14,CUST-31639,Individual,48,4.7,2025-09
BYD-100108,2025-10-12,BYD Dolphin,Hatchback,EV,2023,Japan,Asia,Corporate,Cash,Salesperson_016,1,24526.36,0.0268,657.31,23869.05,20820.77,3048.28,CUST-73076,Individual,37,4.3,2025-10
BYD-100109,2024-06-24,BYD Song Plus DM-i,SUV,PHEV,2021,Mexico,North America,Dealership,Financing,Salesperson_040,1,32209.6,0.0354,1140.22,31069.38,24968.73,6100.65,CUST-39638,Individual,42,4.9,2024-06
BYD-100110,2025-06-30,BYD Song Plus DM-i,SUV,PHEV,2021,Australia,Oceania,Online,Cash,Salesperson_076,1,27219.8,0.1194,3250.04,23969.76,17365.52,6604.23,CUST-43326,Individual,15,4.7,2025-06
BYD-100111,2026-01-16,BYD Qin Plus DM-i,Sedan,PHEV,2021,China,Asia,Fleet,Cash,Salesperson_024,5,19161.62,0.0706,6764.05,89044.05,68459.4,20584.65,CUST-73262,Individual,56,3.0,2026-01
BYD-100112,2024-09-07,BYD Yuan Plus,SUV,EV,2022,China,Asia,Dealership,Financing,Salesperson_062,1,32613.48,0.0358,1167.56,31445.92,24395.23,7050.68,CUST-15634,Individual,14,3.9,2024-09
BYD-100113,2024-06-16,BYD Shark,Pickup,PHEV,2024,Australia,Oceania,Corporate,Financing,Salesperson_093,1,50257.92,0.0519,2608.39,47649.53,41171.39,6478.15,CUST-68120,Individual,20,4.7,2024-06
BYD-100114,2025-04-18,BYD Shark,Pickup,PHEV,2024,Brazil,South America,Corporate,Financing,Salesperson_086,2,57990.23,0.0285,3305.44,112675.02,90225.9,22449.12,CUST-28258,Individual,20,4.7,2025-04
BYD-100115,2025-01-23,BYD Yuan Plus,SUV,EV,2022,Brazil,South America,Corporate,Financing,Salesperson_030,3,30519.5,0.0281,2572.79,88985.71,68700.04,20285.66,CUST-46911,Business,19,4.0,2025-01
BYD-100116,2024-10-03,BYD Qin Plus DM-i,Sedan,PHEV,2021,United Kingdom,Europe,Corporate,Lease,Salesperson_036,1,20853.18,0.0514,1071.85,19781.33,17274.89,2506.44,CUST-66763,Individual,41,3.1,2024-10
BYD-100117,2026-08-05,BYD Seal,Sedan,EV,2023,Brazil,South America,Fleet,Lease,Salesperson_083,2,44129.97,0.1143,10088.11,78171.83,63437.94,14733.89,CUST-33919,Individual,24,4.4,2026-08
BYD-100118,2025-10-17,BYD Seal,Sedan,EV,2023,Japan,Asia,Dealership,Lease,Salesperson_067,1,42626.49,0.0,0.0,42626.49,37205.55,5420.94,CUST-53440,Individual,15,3.5,2025-10
BYD-100119,2025-12-05,BYD Han,Sedan,EV,2020,UAE,Middle East,Online,Cash,Salesperson_036,1,58750.71,0.0301,1768.4,56982.31,41197.43,15784.88,CUST-91532,Individual,47,3.8,2025-12
